customer_state,pedidos,score,dias_medio
SP,40501,4.25,8.7
RJ,12350,3.97,15.2
MG,11354,4.19,11.9
RS,5345,4.19,15.2
PR,4923,4.24,11.9
SC,3546,4.13,14.9
BA,3256,3.93,19.3
DF,2080,4.14,12.9
ES,1995,4.08,15.7
GO,1957,4.1,15.5
PE,1593,4.08,18.4
CE,1279,3.94,21.2
PA,946,3.91,23.7
MT,886,4.15,18.0
MA,717,3.83,21.5
MS,701,4.16,15.5
PB,517,4.08,20.4
PI,476,3.99,19.4
RN,474,4.15,19.2
AL,397,3.86,24.5
SE,335,3.91,21.5
TO,274,4.15,17.6
RO,243,4.17,19.3
AM,145,4.24,26.4
AC,80,4.09,21.0
AP,67,4.24,27.2
RR,41,3.9,29.3
